program_number,agency_number,community_area,program_type,name,address,city,zip,service_areas
KC00474,A70009,Washington Heights,CACFP,Universal Family Connection,,,,Closed
KC00478,A70009,Austin,CACFP,DMI Information Processing Ctr,5090 W. Harrison Street,Chicago,,Closed
KC00060,A70009,Greater Grand Crossing,CACFP,Gary Comer Youth Center,7200 S Ingleside Ave,Chicago,60619,Closed Program
KC00112,A70009,South Shore,SFSP,YMCA- South Side,6330 S Stony Island Ave,Chicago,60637,Closed Program
KC00162,A70009,Washington Heights,CACFP,South Side Help Center,10420 S Halsted St,Chicago,60628,Closed Program
KC00177,A01447,Englewood,CACFP,TSA: Englewood Red Shield Cent,945 W 69th St,Chicago,60621,
KC00198,A70009,Greater Grand Crossing,CACFP,A Knock at Midnight,400 W 76th St,Chicago,60620,Closed Program
KC00219,A70009,Greater Grand Crossing,KIDS CAFE,Project Hood- New Begin Church,6620 S King Dr,Chicago,60637,
KC00240,A70009,Woodlawn,SFSP,Blackstone Bicycle Works,6100 S. Blackstone Ave.,Chicago,60637,Open Site
KC00250,A70009,Woodlawn,SFSP,MetroSquash,6100 S. Cottage Grove,Chicago,60637,Closed site
KC00263,A70009,Roseland,SFSP,Chicago State Univ. Continuing,9501 S. King Drive -Jacoby,Chicago,60628,
KC00264,A70009,Auburn Gresham,SFSP,Christian Community Health,8025 S. Honore,Chicago,60620,Closed site
KC00271,A70009,Washington Heights,SFSP,CHA-Lowden,228A West 95th Street,Chicago,60628,Open site
KC00275,A70009,Grand Boulevard,SFSP,CHA- Washington Park 40th,627 East 40th Street,Chicago,60653,Open site
KC00276,A70009,Douglas,SFSP,CHA- SESS-Giles,3555 S. Giles,Chicago,60653,Open site
KC00282,A70009,Beverly,SFSP,Triedstone Church,1415 W. 104th Street,Chicago,60643,
KC00283,A70009,Auburn Gresham,SFSP,Operation Restoration,8758 S. Peoria,Chicago,60620,Open Site
KC00289,A70009,Englewood,SFSP,Lez Enfants Academy,7209 S. Halsted,Chicago,60621,Closed Program
KC00290,A70009,Englewood,CACFP,Imagine Englewood If,730 W. 69th Street,Chicago,60621,Open Program
KC00291,A70009,Woodlawn,SFSP,HHW School For the Performing,6400 S. Kimbark Ave.,Chicago,60637,Closed Program
KC00292,A70009,Chatham,SFSP,St. Mark United Methodist Chur,8441 S. St. Lawrence,Chicago,60619,Closed Site
KC00294,A70009,Greater Grand Crossing,SFSP,Chatham Enrichment Center,8221 S. State,Chicago,60619,Closed Program
KC00315,A70009,South Holland,SFSP,PRC Learning Center Inc.,401 E. 162nd Street,South Holland,60473,Closed  Site
KC00318,A70009,Beverly,SFSP,Universal Family Connection,1350 W. 103rd St.,Chicago,60643,
KC00329,A70009,South Chicago,SFSP,St. Thomas,8000 S. Jeffery Blvd,Chicago,60617,Open Program
KC00330,A70009,Auburn Gresham,KIDS CAFE,Southwest Montessori Preschool,8620 S Racine Avenue,Chicago,60620,Open Site
KC00337,A01135,Washington Park,SFSP,Greater Metro M.B. Church,5856 S. Wabash Avenue,Chicago,60637,Closed Site
KC00340,A70009,Englewood,SFSP,CHA - Kennedy King College,740 W. 63rd St.,Chicago,60621,Closed Program
